Electrical,Electrical-Boiler,Active-Power,ns=2;points/PM7$242eActivePowerTotal3,float,20,influxdb
Electrical,Electrical-Boiler,Energy,ns=2;points/PM7$242eEnergy3,float,20,influxdb
Electrical,Electrical-Boiler,Maximum-Demand,ns=2;points/PM7$242ePeakDemand3,float,20,influxdb
Electrical,Electrical-Boiler,Power-Factor,ns=2;points/PM7$242ePowerFactor,float,20,influxdb
Electrical,Electrical-Bus-Coupler,Trip-Status,ns=2;points/$24302MDB02BusCouplerBreakerON$242eOFFStatus,float,20,influxdb
Electrical,Electrical-Chiller-01,Energy,ns=2;points/PM16$242eEnergy1,float,20,influxdb
Electrical,Electrical-Chiller-01,Maximum-Demand,ns=2;points/PM16$242ePeakDemand1,float,20,influxdb
Electrical,Electrical-Chiller-01,Power-Factor,ns=2;points/PM16$242ePowerFactor,float,20,influxdb
Electrical,Electrical-Chiller-01,Power,ns=2;points/PM16$242eActivePowerTotal1,float,20,influxdb
Electrical,Electrical-Chiller-02,Energy,ns=2;points/PM15$242eEnergy1,float,20,influxdb
Electrical,Electrical-Chiller-02,Maximum-Demand,ns=2;points/PM15$242ePeakDemand1,float,20,influxdb
Electrical,Electrical-Chiller-02,Power-Factor,ns=2;points/PM15$242ePowerFactor,float,20,influxdb
Electrical,Electrical-Chiller-02,Power,ns=2;points/PM15$242eActivePowerTotal1,float,20,influxdb
Electrical,Electrical-Chocolate-Plant,AHU-Energy,ns=2;points/PM19$242eEnergy1,float,20,influxdb
Electrical,Electrical-Chocolate-Plant,AHU-Maximum-Demand,ns=2;points/PM19$242ePeakDemand1,float,20,influxdb
Electrical,Electrical-Chocolate-Plant,AHU-Power-Factor,ns=2;points/PM19$242ePowerFactor,float,20,influxdb
Electrical,Electrical-Chocolate-Plant,AHU-Power,ns=2;points/PM19$242eActivePowerTotal1,float,20,influxdb
Electrical,Electrical-Chocolate-Plant,Chocolate-Processing-Active-Power,ns=2;points/PM47$242eActivePowerTotal,float,20,influxdb
Electrical,Electrical-Chocolate-Plant,Chocolate-Processing-Energy,ns=2;points/PM47$242eEnergy,float,20,influxdb
Electrical,Electrical-Chocolate-Plant,Chocolate-Processing-Peak-Demand,ns=2;points/PM47$242ePeakDemand,float,20,influxdb
Electrical,Electrical-Chocolate-Plant,Chocolate-Tank-01-Active-Power,ns=2;points/PM48$242eActivePowerTotal,float,20,influxdb
Electrical,Electrical-Chocolate-Plant,Chocolate-Tank-01-Energy,ns=2;points/PM48$242eEnergy,float,20,influxdb
Electrical,Electrical-Chocolate-Plant,Chocolate-Tank-01-Peak-Demand,ns=2;points/PM48$242ePeakDemand,float,20,influxdb
Electrical,Electrical-Chocolate-Plant,Chocolate-Tank-02-Active-Power,ns=2;points/PM49$242eActivePowerTotal,float,20,influxdb
Electrical,Electrical-Chocolate-Plant,Chocolate-Tank-02-Energy,ns=2;points/PM49$242eEnergy,float,20,influxdb
Electrical,Electrical-Chocolate-Plant,Chocolate-Tank-02-Peak-Demand,ns=2;points/PM49$242ePeakDemand,float,20,influxdb
Electrical,Electrical-Chocolate-Plant,Chocolate-Tank-03-Active-Power,ns=2;points/PM50$242eActivePowerTotal,float,20,influxdb
Electrical,Electrical-Chocolate-Plant,Chocolate-Tank-03-Energy,ns=2;points/PM50$242eEnergy,float,20,influxdb
Electrical,Electrical-Chocolate-Plant,Chocolate-Tank-03-Peak-Demand,ns=2;points/PM50$242ePeakDemand,float,20,influxdb
Electrical,Electrical-Chocolate-Plant,Energy,ns=2;points/PM28$242eEnergy,float,20,influxdb
Electrical,Electrical-Chocolate-Plant,Maximum-Demand,ns=2;points/PM28$242ePeakDemand,float,20,influxdb
Electrical,Electrical-Chocolate-Plant,Power-Factor,ns=2;points/PM28$242ePowerFactor,float,20,influxdb
Electrical,Electrical-Chocolate-Plant,Power,ns=2;points/PM28$242eActivePowerTotal1,float,20,influxdb
Electrical,Electrical-Cone-Bakery,Batter-Mixer-Active-Power,ns=2;points/PM52$242eActivePowerTotal,float,20,influxdb
Electrical,Electrical-Cone-Bakery,Batter-Mixer-Energy,ns=2;points/PM52$242eEnergy,float,20,influxdb
Electrical,Electrical-Cone-Bakery,Batter-Mixer-Peak-Demand,ns=2;points/PM52$242ePeakDemand,float,20,influxdb
Electrical,Electrical-Cone-Bakery,Cone-Bakery-Machine-Active-Power,ns=2;points/PM53$242eActivePowerTotal,float,20,influxdb
Electrical,Electrical-Cone-Bakery,Cone-Bakery-Machine-Energy,ns=2;points/PM53$242eEnergy,float,20,influxdb
Electrical,Electrical-Cone-Bakery,Cone-Bakery-Machine-Peak-Demand,ns=2;points/PM53$242ePeakDemand,float,20,influxdb
Electrical,Electrical-Cone-Bakery,Energy,ns=2;points/PM31$242eEnergy,float,20,influxdb
Electrical,Electrical-Cone-Bakery,Maximum-Demand,ns=2;points/PM31$242ePeakDemand,float,20,influxdb
Electrical,Electrical-Cone-Bakery,Power-Factor,ns=2;points/PM31$242ePowerFactor,float,20,influxdb
Electrical,Electrical-Cone-Bakery,Power,ns=2;points/PM31$242eActivePowerTotal1,float,20,influxdb
Electrical,Electrical-Fire-System,Active-Power,ns=2;points/PM1$242eActivePowerTotal3,float,20,influxdb
Electrical,Electrical-Fire-System,Energy,ns=2;points/PM1$242eEnergy3,float,20,influxdb
Electrical,Electrical-Fire-System,Peak-Demand,ns=2;points/PM1$242ePeakDemand3,float,20,influxdb
Electrical,Electrical-Generator-01,Active-Power,ns=2;points/PM4$242eActivePowerTotal4,float,20,influxdb
Electrical,Electrical-Generator-01,Energy,ns=2;points/PM4$242eEnergy3,float,20,influxdb
Electrical,Electrical-Generator-01,Frequency,ns=2;points/PM4$242e02MDB01$242eGEN$2420Frequency,float,20,influxdb
Electrical,Electrical-Generator-01,Maximum-demand,ns=2;points/PM4$242ePeakDemand5,float,20,influxdb
Electrical,Electrical-Generator-01,Phase-A-Voltage,ns=2;points/PM4$242eVoltageA$242dN2,float,20,influxdb
Electrical,Electrical-Generator-01,Phase-B-Voltage,ns=2;points/PM4$242eVoltageB$242dN2,float,20,influxdb
Electrical,Electrical-Generator-01,Phase-C-Voltage,ns=2;points/PM4$242eVoltageC$242dN2,float,20,influxdb
Electrical,Electrical-Generator-01,Power-Factor,ns=2;points/GEN$2420PowerFactor,float,20,influxdb
Electrical,Electrical-Generator-01,Power-factor,ns=2;points/PM4$242ePowerFactor,float,20,influxdb
Electrical,Electrical-Generator-01,Status,ns=2;points/$24302MDB01GEN$242eBreakerON$242eOFFStatus,float,20,influxdb
Electrical,Electrical-Generator-01,Trip-Status,ns=2;points/$24302MDB01GEN$242eBreakerTripStatus,float,20,influxdb
Electrical,Electrical-Generator-02,Active-Power,ns=2;points/PM17$242eActivePowerTotal2,float,20,influxdb
Electrical,Electrical-Generator-02,Energy,ns=2;points/PM17$242eEnergy2,float,20,influxdb
Electrical,Electrical-Generator-02,Frequency,ns=2;points/PM17$242e02MDB02$242eGEN$2420Ferquency,float,20,influxdb
Electrical,Electrical-Generator-02,Maximum-Demand,ns=2;points/PM17$242ePeakDemand2,float,20,influxdb
Electrical,Electrical-Generator-02,Phase-A-Voltage,ns=2;points/PM17$242eVoltageA$242dN,float,20,influxdb
Electrical,Electrical-Generator-02,Phase-B-Voltage,ns=2;points/PM17$242eVoltageB$242dN,float,20,influxdb
Electrical,Electrical-Generator-02,Phase-C-Voltage,ns=2;points/PM17$242eVoltageC$242dN,float,20,influxdb
Electrical,Electrical-Generator-02,Status,ns=2;points/$24302MDB02GEN$242eBreakerON$242eOFFStatus,float,20,influxdb
Electrical,Electrical-Generator-02,Trip-Status,ns=2;points/$24302MDB02GEN$242eBreakerTripStatus,float,20,influxdb
Electrical,Electrical-Hot-Water-System,Energy,ns=2;points/PM18$242eEnergy1,float,20,influxdb
Electrical,Electrical-Hot-Water-System,Maximum-Demand,ns=2;points/PM18$242ePeakDemand1,float,20,influxdb
Electrical,Electrical-Hot-Water-System,Power-Factor,ns=2;points/PM18$242ePowerFactor,float,20,influxdb
Electrical,Electrical-Hot-Water-System,Power,ns=2;points/PM18$242eActivePowerTotal1,float,20,influxdb
Electrical,Electrical-Ice-Water-System,Energy,ns=2;points/PM27$242eEnergy,float,20,influxdb
Electrical,Electrical-Ice-Water-System,Maximum-Demand,ns=2;points/PM27$242eActivePowerTotal1,float,20,influxdb
Electrical,Electrical-Ice-Water-System,Power-Factor,ns=2;points/PM27$242ePowerFactor,float,20,influxdb
Electrical,Electrical-Ice-Water-System,Power,ns=2;points/PM27$242ePeakDemand,float,20,influxdb
Electrical,Electrical-Mixing-Plant,Energy-1,ns=2;points/PM32$242eEnergy,float,20,influxdb
Electrical,Electrical-Mixing-Plant,Energy-2,ns=2;points/PM34$242eEnergy,float,20,influxdb
Electrical,Electrical-Mixing-Plant,Maximum-Demand-1,ns=2;points/PM32$242ePeakDemand,float,20,influxdb
Electrical,Electrical-Mixing-Plant,Maximum-Demand-2,ns=2;points/PM34$242ePeakDemand,float,20,influxdb
Electrical,Electrical-Mixing-Plant,Power-1,ns=2;points/PM32$242eActivePowerTotal1,float,20,influxdb
Electrical,Electrical-Mixing-Plant,Power-2,ns=2;points/PM34$242eActivePowerTotal1,float,20,influxdb
Electrical,Electrical-Mixing-Plant,Power-Factor-1,ns=2;points/PM32$242ePowerFactor,float,20,influxdb
Electrical,Electrical-Mixing-Plant,Power-Factor-2,ns=2;points/PM34$242ePowerFactor,float,20,influxdb
Electrical,Electrical-MV-Switchgear,CEB-In-Status,ns=2;points/Incomming$2420Braker$2428CEB$2429ONOFFStatus,float,20,influxdb
Electrical,Electrical-MV-Switchgear,CEB-In-Trip-Status,ns=2;points/Incomming$2420Braker$2428CEB$2429TripStatus,float,20,influxdb
Electrical,Electrical-MV-Switchgear-Meter,Active-Power,ns=2;points/PM18$242eActivePowerTotal2,float,20,influxdb
Electrical,Electrical-MV-Switchgear-Meter,Apparent-Power,ns=2;points/MVSG$2420ApprentPower,float,20,influxdb
Electrical,Electrical-MV-Switchgear-Meter,Average-Current,ns=2;points/PM18$242eCurrentAvg2,float,20,influxdb
Electrical,Electrical-MV-Switchgear-Meter,Energy,ns=2;points/PM18$242eEnergy2,float,20,influxdb
Electrical,Electrical-MV-Switchgear-Meter,Frequency,ns=2;points/PM18$242eMVSG$2420Ferquency,float,20,influxdb
Electrical,Electrical-MV-Switchgear-Meter,Last-Demand,ns=2;points/Last$2420Demand$242dMV,float,20,influxdb
Electrical,Electrical-MV-Switchgear-Meter,Peak-Demand,ns=2;points/PM18$242ePeakDemand2,float,20,influxdb
